№,Соцсеть,Ссылка,Просмотры,Лайки,Репосты,Комментарии,Длительность,Музыка,Автор,Имя автора,Описание,Дата публикации,Превью
1,instagram,https://www.instagram.com/p/DPgQlVtjCOM/,7434,89,,4,9.635,NUNCA MUDA? (Edit Slowed) - NUNCA MUDA? (Edit Slowed),mom_lena88,Я Лᥱнᥲ▫️МАМА 3-х▫️influencer ▫️,"Самые 🍂🤎
•
WB : WW175346",07.10.2025 13:06,https://scontent-det1-1.cdninstagram.com/v/t51.2885-15/560434163_18526814773063478_5669973677836199381_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QF98DxZetscYXDRC6XQeLLOrkTOMNcWfe78ADPVUjJ_aI57qHgONC-OqucpMZPjLH8&_nc_ohc=4I_7rpECXyoQ7kNvwFHqpm8&_nc_gid=EalxKO4tNMSLkNbJgbERew&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afh41Lg3UT8aQ6t6cp9muTIV8IJtN77yiND_c1R7OHrwOg&oe=69145D63&_nc_sid=10d13b
2,instagram,https://www.instagram.com/p/DPgWlAJjMVy/,19086,390,,20,47.67,Original audio - Original audio,coolkate,Кейт 💖 | UGC | похудение | обзоры | блогер | Саратов | Анапа,"в конце просто клад 🫰🏻
сапоги на широкую ножку

если нужны артикулы пишите 💕",07.10.2025 13:59,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/560565140_1534787680864729_8986487734297590656_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QE_yjnMWyfqYdryszXpDzDXD_NYYMieTV8MGPDd90m5QR81MeA1jIFMLXYpIobPiVs&_nc_ohc=Z2z8G8_TXJwQ7kNvwHP6P0c&_nc_gid=ObYP47BsCCMsMBWaqjeRpw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfgQuflRxlmcqvRVsGD2VivYxzqr_u4RjIGYtRn1OHOvAg&oe=69142D4D&_nc_sid=10d13b
3,instagram,https://www.instagram.com/p/DPgrFXMjEM0/,3273,1,,,52.801,Original audio - Original audio,coolkate,Кейт 💖 | UGC | похудение | обзоры | блогер | Саратов | Анапа,"Подборка осенней обуви с широким голенищем 💕

Мой объем икр- 40 см

Артикулы 👇 

Коричневые ботильоны #WW175350
Черные сапожки #WW175348
Коричневые сапоги @newyorkeronline",07.10.2025 16:59,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/561312536_1359322575528629_5738286990410602228_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEt_I42ZmPd9kVH9X0n80vPub2pm6va52oaR7UY4PGHducQdXSG39j3Vg6ETbW_5QM&_nc_ohc=yx2COo1O0oEQ7kNvwH5Rv_X&_nc_gid=8frR3092QHWeIG0xJ74B9A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfgsrQ70Nbha5SpLBdfwidPpjF6M4AIg6LeVsPwWgXLzXg&oe=69143165&_nc_sid=10d13b
4,tiktok,https://vt.tiktok.com/ZSUjk3Hyw/,2949,50,2,4,52,оригинальный звук - оригинальный звук,Кейт ✨ о похудении и шмотках,coolkate_plussize,"Артикулы 👇 
Ботильоны #500547022
Сапоги черные #316216729
Коричневые сапожки New Yorker",07.10.2025 16:54,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/ow5EeDF5EEDR4oAAt8AgfGEZolIjRlABcA3RGC~tplv-tiktokx-origin.image?dr=9636&x-expires=1762725600&x-signature=JBI50fGX4L0YF9mkX6Shr1Imb14%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8
5,tiktok,https://vt.tiktok.com/ZSUjk3vQH/,3108,69,2,5,47,оригинальный звук - оригинальный звук,Кейт ✨ о похудении и шмотках,coolkate_plussize,В конце клад: сапоги на широкие икры 🫰🏻,07.10.2025 14:11,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oAaFrEBWIuRczTuCbfeWkIPxoZW9VDbB5EEgAB~tplv-tiktokx-origin.image?dr=9636&x-expires=1762725600&x-signature=3%2BxwTveiX4%2F%2BQLtTXrZ2w6qgLAI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8
6,youtube,https://www.youtube.com/shorts/fzohh_6InTA,5158,48,,4,53,,Coolkate_beauty,COOLKATE | PLUSSIZE | BEAUTY ,Обувь на широкое голенище | полные икры | о��увь на широкую ногу,07.10.2025 22:41,https://i.ytimg.com/vi/fzohh_6InTA/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLAh68TzCmofx44kudXJsddHorZWhw
